Price,Land Size (SQM),No. of Bedroom,No. of Bathroom ,Car Space,Distance to Primary School (KM),Distance to Secondary School (KM),Age of House,Suburb ,Address
665000,717,3,2,2,1.73,14.31,25,DUNSBOROUGH,"38 DUNSBOROUGH LAKES DRIVE, DUNSBOROUGH"
820000,576,4,2,2,1.39,13.62,11,DUNSBOROUGH,"8 Killarney Road, Dunsborough, WA 6281"
749000,639,4,3,6,1.59,13.92,29,DUNSBOROUGH,"17 AMBERLEY LOOP, DUNSBOROUGH"
850000,390,4,2,2,1.26,13,15,DUNSBOROUGH,"44 HAYLING WAY, DUNSBOROUGH"
780000,630,4,2,2,1.4,14.34,25,DUNSBOROUGH,"54 BROOKLAND LOOP, DUNSBOROUGH"
2500000,481,3,3,1,0.74,15.21,15,DUNSBOROUGH,"1/4 EVERINGHAM PLACE, DUNSBOROUGH"
845000,548,3,2,2,1.25,14.74,18,DUNSBOROUGH,"23/89 GIFFORD ROAD, DUNSBOROUGH"
1175000,538,4,3,2,1.4,13.33,3,DUNSBOROUGH,"14 MOONDAH CLOSE, DUNSBOROUGH"
665000,373,4,2,2,1.77,12.74,9,DUNSBOROUGH,"20 INVERNESS AVENUE, DUNSBOROUGH"
575000,315,4,2,2,1.05,12.99,1,DUNSBOROUGH,39 Diamante Boulevard Dunsborough
825000,522,4,2,2,0.9,13.52,9,DUNSBOROUGH,"208 DUNSBOROUGH LAKES DRIVE, DUNSBOROUGH"
685000,384,4,2,2,1.2,12.96,2,DUNSBOROUGH,"21 FLEETWOOD LOOP, DUNSBOROUGH"
2000000,1012,3,2,4,1.83,14.29,44,DUNSBOROUGH,"17 Dunn Bay Road, Dunsborough, WA 6281"
660000,450,3,2,2,1.43,12.98,7,DUNSBOROUGH,"35 BANDON LOOP, DUNSBOROUGH"
1380000,1087,4,2,2,1.74,14.61,8,DUNSBOROUGH,"42 Ballard LoopDunsborough, WA 6281"
685000,384,4,2,2,1.2,12.96,2,DUNSBOROUGH,"21 Fleetwood Loop, Dunsborough, WA 6281"
906200,450,4,2,2,1.76,15.27,9,DUNSBOROUGH,"49 Schooner CresDunsborough, WA 6281"
867500,718,4,2,4,1.5,13,6,DUNSBOROUGH,"11 Bandon LoopDunsborough, WA 6281"
995000,557,4,2,2,1.03,13.53,6,DUNSBOROUGH,"1 Bonnie Close, Dunsborough, WA 6281"
660000,221,2,2,2,1.86,12.65,1,DUNSBOROUGH,"38 VALCROS CIRCUIT, DUNSBOROUGH"
750000,700,3,2,2,1.63,14.28,18,DUNSBOROUGH,"12 BROOKLAND LOOP, DUNSBOROUGH"
650000,809,3,1,1,2.47,13.62,44,DUNSBOROUGH,"33 PERON AVENUE, DUNSBOROUGH"
1420000,481,4,2,4,0.42,15.44,8,DUNSBOROUGH,"3 THURSTUN LANE, DUNSBOROUGH"
805000,667,4,2,2,0.82,13.88,5,DUNSBOROUGH,"172 DUNSBOROUGH LAKES DRIVE, DUNSBOROUGH"
1050000,654,3,2,2,1.59,13.6,11,DUNSBOROUGH,"5 OAKMONT CRESCENT, DUNSBOROUGH"
750000,525,4,2,2,0.69,13.86,3,DUNSBOROUGH,"20 METROPOLITAN WAY, DUNSBOROUGH"
1350000,588,4,3,2,1.05,14.94,10,DUNSBOROUGH,"16A/77 Gifford Road, Dunsborough, WA 6281"
648000,400,3,2,2,1.42,13.3,15,DUNSBOROUGH,"LOT 1353 BALLYNEAL LOOP, DUNSBOROUGH"
760000,560,4,2,2,0.97,12.98,6,DUNSBOROUGH,"56 DIAMANTE BOULEVARD, DUNSBOROUGH"
710000,557,4,2,2,1.26,13.64,13,DUNSBOROUGH,"6 ROANOKE WAY, DUNSBOROUGH"
380000,72,2,2,1,1.92,14.23,14,DUNSBOROUGH,56/12 Dunn Ba
1180000,801,4,2,3,0.45,16.32,25,DUNSBOROUGH,"31 NATURALISTE TERRACE, DUNSBOROUGH"
900000,525,4,2,2,1.37,13.71,11,DUNSBOROUGH,"26 Indooroopilly Crescent, Dunsborough, WA 6281"
710000,450,4,2,2,1.91,13.33,20,DUNSBOROUGH,"13 Troon Loop, Dunsborough, WA 6281"
1075000,382,3,2,0,1.07,13.72,12,DUNSBOROUGH,"29 Long Island Quays, Dunsborough, WA 6281"
1700000,912,3,2,1,0.74,15.27,44,DUNSBOROUGH,"51 Gifford Road, Dunsborough, WA 6281"
680000,286,3,2,2,1.82,14.03,18,DUNSBOROUGH,"10 Moonshine Place, Dunsborough, WA 6281"
800000,470,4,2,2,1.31,12.77,1,DUNSBOROUGH,"12 Kawana Boulevard, Dunsborough, WA 6281"
1300000,856,3,2,4,1.78,14.33,48,DUNSBOROUGH,"146 Gifford Road, Dunsborough, WA 6281"
950000,678,4,2,1,0.94,15.99,17,DUNSBOROUGH,"6 May Close, Dunsborough, WA 6281"
882500,525,4,2,2,2.1,12.68,9,DUNSBOROUGH,"6 Birkdale Green, Dunsborough, WA 6281"
585000,585,3,1,1,0.75,1.25,48,BULL CREEK,"57 Endeavour Avenue, Bull Creek, WA 6149"
940888,696,3,2,2,0.55,1.36,46,BULL CREEK,"4 Weeks Way, Bull Creek, WA 6149"
835000,743,3,1,1,0.69,1.26,47,BULL CREEK,"71 Endeavour Avenue, Bull Creek, WA 6149"
600000,100,3,1,1,0.83,1.06,41,BULL CREEK,"1/52 Endeavour Avenue, Bull Creek, WA 6149"
860000,856,4,2,2,0.86,1.1,47,BULL CREEK,"6 Wills Close, Bull Creek, WA 6149"
780000,783,3,1,1,0.67,1.2,42,BULL CREEK,"15 Eyre Close, Bull Creek, WA 6149"
840000,688,3,1,2,0.9,1.1,43,BULL CREEK,"7 Gribble Road, Bull Creek, WA 6149"
916000,693,4,2,4,0.44,0.82,43,BULL CREEK,"62 Hetherington Drive, Bull Creek, WA 6149"
1115000,1001,6,2,2,0.21,0.92,47,BULL CREEK,"9 Marsh Way, Bull Creek, WA 6149"
750000,689,4,2,4,0.54,1.21,42,BULL CREEK,"3 West Court, Bull Creek, WA 6149"
915000,696,4,2,2,0.79,1.14,39,BULL CREEK,"51 Parry Avenue, Bull Creek, WA 6149"
850000,683,4,2,2,0.28,1.22,49,BULL CREEK,"25 Benningfield Road, Bull Creek, WA 6149"
615000,500,2,1,1,0.78,1.05,51,BULL CREEK,"7A Endeavour Avenue, Bull Creek, WA 6149"
440000,645,2,1,0,0.35,0.77,45,BULL CREEK,"10/1 Dobie Street, Bull Creek, WA 6149"
948000,731,4,2,0,0.51,0.51,49,BULL CREEK,"14 Hartung Way, Bull Creek, WA 6149"
690000,603,3,3,2,0.65,1.38,42,BULL CREEK,"12B Hetherington Drive, Bull Creek, WA 6149"
780000,945,3,2,2,0.57,0.57,31,BULL CREEK,"7B Debries Place, Bull Creek, WA 6149"
680000,1000,3,1,2,0.54,1.26,42,BULL CREEK,"7A Riding Way, Bull Creek, WA 6149"
660000,509,3,1,2,0.31,0.81,46,BULL CREEK,"33 Cotton Crescent, Bull Creek, WA 6149"
620000,447,3,1,3,0.41,0.79,44,BULL CREEK,"1 Hurley Way, Bull Creek, WA 6149"
760000,731,3,1,2,0.61,1.2,52,BULL CREEK,"26 Dirk Hartog Road, Bull Creek, WA 6149"
1250000,943,5,2,4,0.31,0.31,40,BULL CREEK,"13 Driver Way, Bull Creek, WA 6149"
890000,752.7,4,2,2,0.66,1.17,51,BULL CREEK,"28 Bass Road, Bull Creek, WA 6149"
965000,682,4,2,2,0.26,1.13,43,BULL CREEK,"36 Oberthur Crescent, Bull Creek, WA 6149"
840000,684,4,2,4,0.22,1.19,48,BULL CREEK,"22 More Crescent, Bull Creek, WA 6149"
830000,755,4,2,1,0.4,0.4,46,BULL CREEK,"8 Minchin Place, Bull Creek, WA 6149"
1050000,723,4,2,4,0.5,1.33,32,BULL CREEK,"22 Wheatley Drive, Bull Creek, WA 6149"
720000,701,4,3,2,0.79,1.18,47,BULL CREEK,"22 Fyfe Circle, Bull Creek, WA 6149"
85400,748,3,2,8,0.76,1.13,49,BULL CREEK,"14 Orbell Way, Bull Creek, WA 6149"
725000,1143,3,2,1,0.97,0.97,38,BULL CREEK,"1 Mott Place, Bull Creek, WA 6149"
610000,1133,3,2,2,0.94,0.99,41,BULL CREEK,"5a Mott Place, Bull Creek, WA 6149"
1325000,777,4,2,2,0.57,1.27,53,BULL CREEK,"19 Windich Road, Bull Creek, WA 6149"
1110000,848,4,2,2,0.3,0.91,43,BULL CREEK,"12 Tully Court, Bull Creek, WA 6149"
610000,1283,3,1,1,0.39,0.77,43,BULL CREEK,"4B Hurley Way, Bull Creek, WA 6149"
1300000,855,3,2,2,0.22,0.22,31,BULL CREEK,"16 Brockman Avenue, Bull Creek, WA 6149"
830000,700,4,3,2,0.25,1.04,47,BULL CREEK,"13 Hardy Street, Bull Creek, WA 6149"
810000,480,4,2,2,0.55,1.27,51,BULL CREEK,"23A Dirk Hartog Road, Bull Creek, WA 6149"
1175000,725,4,2,2,0.16,0.82,41,BULL CREEK,"16 Nicholls Crescent, Bull Creek, WA 6149"
899000,498,4,2,2,0.53,0.76,32,BULL CREEK,"22 Sanderson Road, Bull Creek, WA 6149"
1000000,682,4,3,2,0.13,1.22,49,BULL CREEK,"11 Henry Bull Drive, Bull Creek, WA 6149"
1800000,698,4,3,3,0.46,0.46,46,BULL CREEK,"29 Hartung Way, Bull Creek, WA 6149"
899000,682,5,3,2,0.24,1.2,48,BULL CREEK,"25 Middleton Way, Bull Creek, WA 6149"
1160000,685,5,2,2,0.25,0.77,45,BULL CREEK,"32 Hurley Way, Bull Creek, WA 6149"
670000,685,3,1,2,0.57,1.21,47,BULL CREEK,"6 West Court, Bull Creek, WA 6149"
470000,124,3,1,2,0.83,1.07,41,BULL CREEK,"3/52 Endeavour Avenue, Bull Creek, WA 6149"
660000,1100,3,1,1,0.33,1.02,45,BULL CREEK,"16B Vance Place, Bull Creek, WA 6149"
790000,686,4,2,1,0.81,1.21,44,BULL CREEK,"62 Endeavour Avenue, Bull Creek, WA 6149"
870000,708,4,2,2,0.55,0.56,47,BULL CREEK,"113 Parry Avenue, Bull Creek, WA 6149"
1010000,687,4,2,2,0.26,0.74,41,BULL CREEK,"9 Ewing Avenue, Bull Creek, WA 6149"
740000,360,3,2,2,0.58,0.58,31,BULL CREEK,"9B Debries Place, Bull Creek, WA 6149"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
